CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/dqn/cartpole_dqn.py
MEM 359.644531 1706089590.9697
MEM 359.859375 1706089591.0749
MEM 359.929688 1706089591.1788
MEM 360.039062 1706089591.3380
MEM 360.039062 1706089591.4394
MEM 360.039062 1706089591.5440
MEM 360.066406 1706089591.6445
MEM 360.246094 1706089591.7451
MEM 360.246094 1706089591.8534
MEM 360.359375 1706089591.9545
MEM 360.378906 1706089592.0571
MEM 360.542969 1706089592.1609
MEM 360.542969 1706089592.2614
MEM 360.976562 1706089592.3627
MEM 360.980469 1706089592.4641
MEM 361.414062 1706089592.5711
MEM 361.453125 1706089592.6728
MEM 361.808594 1706089592.7774
MEM 361.882812 1706089592.8778
MEM 361.894531 1706089592.9817
MEM 361.894531 1706089593.0898
MEM 361.937500 1706089593.1946
MEM 361.937500 1706089593.2975
MEM 362.046875 1706089593.3977
MEM 362.128906 1706089593.4996
MEM 362.511719 1706089593.6006
MEM 362.566406 1706089593.7079
MEM 363.031250 1706089593.8110
MEM 363.246094 1706089593.9128
MEM 363.371094 1706089594.0135
MEM 363.371094 1706089594.1212
MEM 363.371094 1706089594.2216
MEM 363.609375 1706089594.3246
MEM 364.089844 1706089594.4280
MEM 364.160156 1706089594.5300
MEM 364.195312 1706089594.6310
MEM 364.222656 1706089594.7362
MEM 364.253906 1706089594.8365
MEM 364.246094 1706089594.9368
MEM 364.343750 1706089595.0752
MEM 364.312500 1706089595.1790
MEM 364.312500 1706089595.2796
MEM 364.527344 1706089595.3816
MEM 365.089844 1706089595.4868
MEM 365.089844 1706089595.5892
MEM 365.273438 1706089595.6923
MEM 365.210938 1706089595.7931
MEM 365.468750 1706089595.8938
MEM 365.617188 1706089595.9965
MEM 366.019531 1706089596.0981
MEM 366.058594 1706089596.1992
MEM 366.101562 1706089596.3052
MEM 366.117188 1706089596.4058
MEM 366.117188 1706089596.5115
MEM 366.191406 1706089596.6127
MEM 366.214844 1706089596.7152
MEM 366.402344 1706089596.8199
MEM 366.605469 1706089596.9204
